content,name,extra
|I think that marijuana should not only be legal, I think it should be a cottage industry. It would be wonderful for the state of Maine. There's some pretty good homegrown dope. I'm sure it would be even better if you could grow it with fertilizers and have greenhouses.|,Stephen King,(1981). "Interview: Stephen King". High Times.
I work until beer o'clock.,Stephen King,|On his 9 to 5 writing day, as quoted in Time (6 October 1986)|
French is the language that turns dirt into romance.,Stephen King,|Time (October 6, 1986)|
|I have grown into a Bestsellasaurus Rex — a big, stumbling book-beast that is loved when it shits money and hated when it tramples houses... I started out as a storyteller; along the way I became an economic force.|,Stephen King,|The Politics of Limited Editions essay in Castle Rock|| Newsletter, vol. 1, no. 6 (June 1985), republished in various real world publications, including The Stephen King Story (1992) by George W. Beahm, p. 112|
I think the author who influenced me the most as a writer was Richard Matheson. Books like I Am Legend were an inspiration to me.,Stephen King,As quoted in an edition of I Am Legend (1995)
|President Clinton has made a few feeble swipes at addressing this issue [school violence], but one can only gape at the unintentionally comic spectacle of this man chastising the gun-lobby and America's love of violent movies while he rains bombs on Yugoslavia, where at least twenty noncombatants have already died for every innocent student at Columbine High. It is like listening to a man with a crack-pipe in his hand lecture children about the evils of drugs.|,Stephen King,|Keynote Address, Vermont Library Conference, VEMA Annual Meeting, (26 May 1999)|
|I understand where Bill Maher is coming from when he says, basically, the world is destroying itself over a bunch of fairy tales about talking snakes and men who are alive inside fishes. I'm very sympathetic to it, but at the same time, given the cosmos that we're living in, it's very persuasive, the idea that there is some kind of first cause that's running things. It might not be the god of Jerry Jenkins and Tim LaHaye, it might not be the god of al-Qaida, and it might not be the god of Abraham, but something very well could be running things. The order of the universe as we see it, the interlocking nature, and the way things work together, are persuasive of the idea that there may be some overarching first cause.|,Stephen King,|Marks, John (2008-10-23). "Stephen King's God trip". Salon.com. Retrieved on 2008-10-23. |
|If I know anything, I know scary. And giving this president and this out-of-control Congress two more years to screw up our future is downright terrifying. Thankfully, this national nightmare is one we can end.|,Stephen King,|"My Book About A Really Mean Car That Kills People Was Pretty Scary. But Not As Scary As Those Scary Republicans", The Gaggle, Newsweek (24 October 2006)|
YouTube is very addictive. I refused to put it on my favorite places because it's too easy to go there.,Stephen King,Stephen King Visits YouTube - Part 1
On a couple of occasions I've shocked myself. Pet Sematery was appalling when it first came out on to the page.,Stephen King,(2000). "Interview: Stephen King". The Guardian.
The past is obdurate.,Stephen King,(2011) 11/22/63. : Repeated line
|I don't think there was anything in my brain right then except the usual background static -- the kind you get on your radio when it's turned up all the way and tuned to no station at all. My brain had checked to the power, so to speak; the little guy wearing the Napoleon hat inside was showing aces and betting them.|,Stephen King, 
|You can go through your whole life telling yourself that life is logical, life is prosaic, life is sane. Above all, sane. And I think it is. I've had a lot of time to think about that.|,Stephen King, 
|There isn't any division of time to express the marrow of our lives, the time between the explosion of lead from the muzzle and the meat impact, between the impact and the darkness. There's only barren instant replay that shows nothing new. I shot her; she fell; and there was an indescribable moment of silence, an infinite duration of time, and we all stepped back, watching the ball go around and around, ticking, bouncing, lighting for an instant, going on, heads and tails, red and black, odd and even...I think that moment ended. I really do. But sometimes, in the dark, I think that hideous random moment is still going on, that the wheel is even yet in spin, and I dreamed all the rest. What must it be like for a suicide coming down from a high ledge? I'm sure it must be a very sane feeling. That's probably why they scream all the way down.|,Stephen King, 
|"This," I said pleasantly, "is known as getting it on."|,Stephen King, 
|Susan Brooks was one of those girls who never say anything unless called upon, the ones the teachers always have to ask to speak up, please. A very studious, very serious girl. A rather pretty but not terribly bright girl -- the kind who isn't allowed to give up and take the general or the commercial courses, because she had a terribly bright older brother or older sister, and the teachers expect comparable things from her. In fine, one of those girls who are holding the dirty end of the stick with as much good grace and manners as they can muster. Usually they marry truck drivers and move to the West Coast, where they have kitchen nooks with Formica counters -- and they write letters to the Folks Back East as seldom as they can get away with. They make quiet, successful lives for themselves and grow prettier as the shadow of the bright older brother or sister falls away from them.|,Stephen King, 
|My dad has hated me for as long as I can remember. That's a pretty sweeping statement, and I know how phony it sounds. It sounds petulant and really fantastic, the kind of weapon kids always use when the old man won't come across with the car for your heavy date at the drive-in with Peggy Sue or when he tells you that if you flunk world history the second time through he's going to beat the living hell out of you. In this day and age when everybody thinks psychology is God's gift to the poor old anally fixated human race and even the president of the United States pops a trank before dinner, it's really a good way to get rid of those Old Testament guilts that keep creeping up our throats like the aftertaste of a bad meal we overate. If you say your father hated you as a kid, you can go out and flash the neighborhood, commit rape, or burn down the Knights of Pythias bingo parlor and still cop a plea... But it also means that no one will believe you if it's true. You're the little boy who cried wolf. And for me it's true...I don't think Dad himself really knew it until then. Even if you could dig to the very bottom of his motives, he'd probably say - at the most - that he was hating me for my own good.|,Stephen King, 
