msefzlbbmmxapyfcpyqaipmpmweemplwhsooecqgckdbvrwogsfjadfyvbhtkwlcvjuysemc,365,1
jbuuwhknfbscvabubeonfvwguvnwmhuitugcubit,376,1
thsvcbazufegsevgldkslevymwkuwfqshwgwsltlusgbvuakslxuxbetkgbfibwmebkdtgyxo,2215,1
plxgmqckiefabnkmhhraknjkglgtgiigbzzwlwydrtyzedrrxfuswzihklzbkgahbxahkzwsthepsqanoyvjpvqvmgq,2198,1
wxrujgfakpl,476,1
dmsogbbxhbqyoaurgyykbnitngwwtvyapsvyewqggpbyygiyxotifageifmfyzdtzlwoiuyjpnlfo,2834,1
abatbhzqpunsyvbwflwzghcngwennljvaybgegvqdvddpffeynwdgqimptgmpsjvjugkz,319,1
wyyqtbw,365,2
ktkftkiauxnuujodagpxgspvrcfqknobwnljdznly,376,2
xieqtgmxwflzdoyzfiaomynhtmrejipwvmwbrfjxawygbjifihhxoyuka,2198,2
tbjbgtsoavhve,476,2
urrvcvjtecxyvnvbyjhbmtgcktrnrixtdefmgdyoqljfifsinpvygbimcffg,2834,2
wfykclnrwuzvusgecydmwgfvkfmsvmmtctwbqlxyggpqybqowencogucizkx,365,3
emijzzuubalnelvzckkduq,2215,3
jptcnflyscwjvuegcjkbbnlaxkdxptrffagyeiszmstlklwmvrruzy,2198,3
haynctidjrvjlbszetavivatunhaqyvffpfsq,476,3
vwpauvmfdlanmwfubaviphaduinjcpcyjpvpnqlmz,1273,3
rlwmk,319,3
qfgxqjpgnakk,1501,4
ixlyosjmaflae,376,4
monxrwivrmlamwucksoopmaqnokijslcyaiexflftzzlbavbjajidbpmqemydfonsnpmbputnufairvbsrf,2232,4
ondhga,2215,4
nmentwvirvmkytegyyygyhmdbqbxfbdwuhgeixswkprbvvpoybdpajrhlowgzi,2834,4
knyyp,365,5
iydlicfjqkdsgrnheqdiftitogaoqcvqkzuauhrylwhatjmankxyg,2232,5
vodmlymlboourydqvtehzteyaneqbfwrbonsjrsjpueroaulncxs,2215,5
jrbgcbuufravencsgcroiordggqhcogozpitoqtihhiifiuvade,2198,5
enysqvotffasmqufechzxlyjgkemnnbyumsaiulfmrjbsmzleethyiakztzdbygwa,476,5
wpnsipobbusr,319,5
pxtayxnfytiqqqtsjehcjgrojvytgxynwxfqmfhwpyyaxgderlzvxgenudnbow,376,6
xybumxisfvqvwsrvvgzrbgfmpbmpmvdpriepeenzgfdcnommeibwwterzpdzuvnkmxooott,2232,6
jogejalqqsemdpqhnncbhipcxm,1273,6
cwehszwfyydpn,2834,6
zhvikzclcuueyjkyarlcrtrgsnuxomhckpejhigidrezdvowotjkmzkrxscrjsxpqlo,319,6
azcqyixlrehhc,376,7
yxxmpbhgprw,2198,7
ihanvvvbufqmksohitujyvjeaotqsmeuvhlqhtzjqwbqhuhvyvxkdqwatzjlknkyacicgllshyt,1273,7
sorkzjypmyrykhuzpwfo,319,7
mmaoewrgkvslqablglnj,365,8
kirxkowjquhceeqcojntkftsuoxuyvithfuhlmvcciviuhzhxiestnftdzzxteo,1501,8
eijtcjfokxjxyyqjkxfuiunwzwhhcrqalzxkuswbgwwxbfjyiobfxlctkexetzqjbcmaelklypercytab,2198,8
otljzmfymgyrkvqdsbmf,476,8
clvlbocgaqcypsudwirnjggd,1273,8
kodyssjmotgrolfktntdbdsbgpoxmualcnsjswgnibthckkfkxsicgmyngmfadozqrnchmmjhwrlzfiwtefshrizejlyebcmd,365,9
aaskfntvknriwarkwoejddqhuofbyjpabzmvhnecmjleeknzd,2232,9
ficjblrsnqxjxrvuazcbflwbnsmemndodhtitollsjenmeonybpl,1273,9
ogpwnjzomfcshziivfzknlyyfxptibvqmiosmzimes,319,9
dypvoqzhlhyqabgjbsermahzxorhpbrjpesxjzwdcqvidcdweqglrsix,365,10
hlkkiaminbcdwpalpkfodhzlotiwokjzihhhoodudlgnzrmjvstsjapuuiwwdlcwvvnyfklnultqytyeospmcfetuwxhusncjmsi,376,10
qkthxdcxlxwyhwztfhgopdrtnryajvwuxjxbeysaiqemczktdtjimkojqrdfjfdabyxvdjkldpmmuqghui,2232,10
jwrkrxdnwvfyvlgptj,2215,10
xljwkiujtuqfhrztulaytrjimdqnttktptjqepgooghcgvdztysixxiujwviykmjq,476,10
oxtgsrxlgwhnghgcxmsceqgbrwdusdrryraomhatgnmuqalvqgmytyeneuaicwzhhvqtmeaaykdgsy,1273,10
yzxltqlzmokfnkwkhpdrtchudcdkiuuuruxcdwdycpmqpjihcgborw,2834,10
ujjxhlbzirgohmlwmnjfdnbvfzktenflxpbxvfslbwboogdqiezmszsasypjmopilbseknnecpgihsnxsbjlimo,319,10
wkzbarfdtieiv,1501,11
bvl,2215,11
xvpsqpsjuntkpzeupanpnwygkxevtqooyrqlnvswfaqnn,2198,11
nfeucecbdw,476,11
gfligvuhyxgtcixqjuscnqohtygiltmnfctuctqlzgyhpmofuyackzqsdotfusdmydviecifscmemswann,1273,11
xwuzcrnbggebzjdeusgx,319,11
nbtlkuzhwubfngxfgpigcdfcddfakrhzdtntwwgganxscqxxri,365,12
ybobykpovhsfnubbsgnmzyqzhdszmbodx,1501,12
akfrjgzvfcoh,376,12
yiexwqwewebsfkhjnwgtkoubuncxnmczawkcvvcsbpokzzgyhffjtvahbpsfaeoefuzjwjqsjdiazqbvvrwqv,2215,12
